2024-04-28 20:51:38,631 [INFO ] 1 | Entry Type: Long | Entry Price: 73046.16 | Exit Price: 73024.4 | Entry Time: 2024-03-14 04:24:59.999000+02:00 | Exit Time: 2024-03-14 06:49:59.999000+02:00 | Profit/Loss (%): 0.08 | Volatility: 0.31
2024-04-28 20:51:38,632 [INFO ] 2 | Entry Type: Short | Entry Price: 72864.25 | Exit Price: 73555.0 | Entry Time: 2024-03-14 06:49:59.999000+02:00 | Exit Time: 2024-03-14 08:24:59.999000+02:00 | Profit/Loss (%): -0.66 | Volatility: 1.2
2024-04-28 20:51:38,633 [INFO ] 3 | Entry Type: Long | Entry Price: 73500.01 | Exit Price: 73394.45 | Entry Time: 2024-03-14 08:24:59.999000+02:00 | Exit Time: 2024-03-14 11:39:59.999000+02:00 | Profit/Loss (%): -0.05 | Volatility: 0.4
2024-04-28 20:51:38,634 [INFO ] 4 | Entry Type: Short | Entry Price: 73265.48 | Exit Price: 71117.77 | Entry Time: 2024-03-14 11:39:59.999000+02:00 | Exit Time: 2024-03-14 22:39:59.999000+02:00 | Profit/Loss (%): 3.63 | Volatility: 3.5
2024-04-28 20:51:38,635 [INFO ] 5 | Entry Type: Long | Entry Price: 71097.78 | Exit Price: 71481.11 | Entry Time: 2024-03-14 22:39:59.999000+02:00 | Exit Time: 2024-03-15 01:54:59.999000+02:00 | Profit/Loss (%): 1.08 | Volatility: 1.68
2024-04-28 20:51:38,635 [INFO ] 6 | Entry Type: Short | Entry Price: 71432.39 | Exit Price: 72109.43 | Entry Time: 2024-03-15 01:54:59.999000+02:00 | Exit Time: 2024-03-15 02:29:59.999000+02:00 | Profit/Loss (%): -0.47 | Volatility: 1.2
2024-04-28 20:51:38,636 [INFO ] 7 | Entry Type: Long | Entry Price: 72089.0 | Exit Price: 71900.0 | Entry Time: 2024-03-15 02:29:59.999000+02:00 | Exit Time: 2024-03-15 03:49:59.999000+02:00 | Profit/Loss (%): 0.12 | Volatility: 0.18
2024-04-28 20:51:38,637 [INFO ] 8 | Entry Type: Short | Entry Price: 71780.83 | Exit Price: 67593.66 | Entry Time: 2024-03-15 03:49:59.999000+02:00 | Exit Time: 2024-03-15 13:39:59.999000+02:00 | Profit/Loss (%): 6.27 | Volatility: 2.78
2024-04-28 20:51:38,638 [INFO ] 9 | Entry Type: Long | Entry Price: 67537.79 | Exit Price: 67861.1 | Entry Time: 2024-03-15 13:39:59.999000+02:00 | Exit Time: 2024-03-15 15:24:59.999000+02:00 | Profit/Loss (%): 0.69 | Volatility: 0.86
2024-04-28 20:51:38,639 [INFO ] 10 | Entry Type: Short | Entry Price: 67749.99 | Exit Price: 68448.0 | Entry Time: 2024-03-15 15:24:59.999000+02:00 | Exit Time: 2024-03-15 15:49:59.999000+02:00 | Profit/Loss (%): -0.28 | Volatility: 1.51
2024-04-28 20:51:38,640 [INFO ] 11 | Entry Type: Long | Entry Price: 68368.02 | Exit Price: 68272.79 | Entry Time: 2024-03-15 15:49:59.999000+02:00 | Exit Time: 2024-03-15 18:04:59.999000+02:00 | Profit/Loss (%): 0.15 | Volatility: 0.59
2024-04-28 20:51:38,641 [INFO ] 12 | Entry Type: Short | Entry Price: 67989.18 | Exit Price: 68466.23 | Entry Time: 2024-03-15 18:04:59.999000+02:00 | Exit Time: 2024-03-15 20:09:59.999000+02:00 | Profit/Loss (%): -0.29 | Volatility: 1.39
2024-04-28 20:51:38,642 [INFO ] 13 | Entry Type: Long | Entry Price: 68367.69 | Exit Price: 68710.0 | Entry Time: 2024-03-15 20:09:59.999000+02:00 | Exit Time: 2024-03-15 22:09:59.999000+02:00 | Profit/Loss (%): 0.37 | Volatility: 0.57
2024-04-28 20:51:38,643 [INFO ] 14 | Entry Type: Short | Entry Price: 67767.63 | Exit Price: 69192.37 | Entry Time: 2024-03-15 22:09:59.999000+02:00 | Exit Time: 2024-03-16 00:59:59.999000+02:00 | Profit/Loss (%): -0.45 | Volatility: 2.62
2024-04-28 20:51:38,644 [INFO ] 15 | Entry Type: Long | Entry Price: 69104.3 | Exit Price: 69454.38 | Entry Time: 2024-03-16 00:59:59.999000+02:00 | Exit Time: 2024-03-16 03:34:59.999000+02:00 | Profit/Loss (%): 0.65 | Volatility: 0.95
2024-04-28 20:51:38,646 [INFO ] 16 | Entry Type: Short | Entry Price: 69241.1 | Exit Price: 69340.0 | Entry Time: 2024-03-16 03:34:59.999000+02:00 | Exit Time: 2024-03-16 09:09:59.999000+02:00 | Profit/Loss (%): 0.3 | Volatility: 1.07
2024-04-28 20:51:38,647 [INFO ] 17 | Entry Type: Long | Entry Price: 69267.33 | Exit Price: 69151.26 | Entry Time: 2024-03-16 09:09:59.999000+02:00 | Exit Time: 2024-03-16 10:54:59.999000+02:00 | Profit/Loss (%): -0.01 | Volatility: 0.07
2024-04-28 20:51:38,648 [INFO ] 18 | Entry Type: Short | Entry Price: 69069.36 | Exit Price: 68229.88 | Entry Time: 2024-03-16 10:54:59.999000+02:00 | Exit Time: 2024-03-16 16:59:59.999000+02:00 | Profit/Loss (%): 1.7 | Volatility: 1.02
2024-04-28 20:51:38,649 [INFO ] 19 | Entry Type: Long | Entry Price: 68194.2 | Exit Price: 68040.01 | Entry Time: 2024-03-16 16:59:59.999000+02:00 | Exit Time: 2024-03-16 19:29:59.999000+02:00 | Profit/Loss (%): 0.1 | Volatility: 0.28
2024-04-28 20:51:38,650 [INFO ] 20 | Entry Type: Short | Entry Price: 67810.0 | Exit Price: 66461.1 | Entry Time: 2024-03-16 19:29:59.999000+02:00 | Exit Time: 2024-03-17 04:29:59.999000+02:00 | Profit/Loss (%): 2.65 | Volatility: 2.48
2024-04-28 20:51:38,651 [INFO ] 21 | Entry Type: Long | Entry Price: 66422.9 | Exit Price: 66347.37 | Entry Time: 2024-03-17 04:29:59.999000+02:00 | Exit Time: 2024-03-17 07:39:59.999000+02:00 | Profit/Loss (%): 0.12 | Volatility: 0.23
2024-04-28 20:51:38,652 [INFO ] 22 | Entry Type: Short | Entry Price: 66095.13 | Exit Price: 66059.0 | Entry Time: 2024-03-17 07:39:59.999000+02:00 | Exit Time: 2024-03-17 10:34:59.999000+02:00 | Profit/Loss (%): 0.79 | Volatility: 2.31
2024-04-28 20:51:38,653 [INFO ] 23 | Entry Type: Long | Entry Price: 66047.73 | Exit Price: 67087.44 | Entry Time: 2024-03-17 10:34:59.999000+02:00 | Exit Time: 2024-03-17 13:49:59.999000+02:00 | Profit/Loss (%): 1.96 | Volatility: 2.08
2024-04-28 20:51:38,654 [INFO ] 24 | Entry Type: Short | Entry Price: 66999.66 | Exit Price: 67404.53 | Entry Time: 2024-03-17 13:49:59.999000+02:00 | Exit Time: 2024-03-17 14:09:59.999000+02:00 | Profit/Loss (%): -0.1 | Volatility: 0.73
2024-04-28 20:51:38,654 [INFO ] 25 | Entry Type: Long | Entry Price: 67292.24 | Exit Price: 67050.0 | Entry Time: 2024-03-17 14:09:59.999000+02:00 | Exit Time: 2024-03-17 14:24:59.999000+02:00 | Profit/Loss (%): -0.18 | Volatility: 0.05
2024-04-28 20:51:38,655 [INFO ] 26 | Entry Type: Short | Entry Price: 66960.01 | Exit Price: 67400.0 | Entry Time: 2024-03-17 14:24:59.999000+02:00 | Exit Time: 2024-03-17 16:44:59.999000+02:00 | Profit/Loss (%): -0.52 | Volatility: 1.44
2024-04-28 20:51:38,656 [INFO ] 27 | Entry Type: Long | Entry Price: 67381.1 | Exit Price: 68205.41 | Entry Time: 2024-03-17 16:44:59.999000+02:00 | Exit Time: 2024-03-17 20:54:59.999000+02:00 | Profit/Loss (%): 1.18 | Volatility: 1.48
2024-04-28 20:51:38,657 [INFO ] 28 | Entry Type: Short | Entry Price: 68147.99 | Exit Price: 68593.43 | Entry Time: 2024-03-17 20:54:59.999000+02:00 | Exit Time: 2024-03-17 22:04:59.999000+02:00 | Profit/Loss (%): -0.54 | Volatility: 0.83
2024-04-28 20:51:38,658 [INFO ] 29 | Entry Type: Long | Entry Price: 68587.33 | Exit Price: 68305.95 | Entry Time: 2024-03-17 22:04:59.999000+02:00 | Exit Time: 2024-03-17 22:59:59.999000+02:00 | Profit/Loss (%): -0.37 | Volatility: 0.04
2024-04-28 20:51:38,659 [INFO ] 30 | Entry Type: Short | Entry Price: 68269.06 | Exit Price: 68480.25 | Entry Time: 2024-03-17 22:59:59.999000+02:00 | Exit Time: 2024-03-18 00:09:59.999000+02:00 | Profit/Loss (%): -0.04 | Volatility: 0.77
2024-04-28 20:51:38,660 [INFO ] 31 | Entry Type: Long | Entry Price: 68480.0 | Exit Price: 68335.44 | Entry Time: 2024-03-18 00:09:59.999000+02:00 | Exit Time: 2024-03-18 01:09:59.999000+02:00 | Profit/Loss (%): 0.02 | Volatility: 0.29
2024-04-28 20:51:38,661 [INFO ] 32 | Entry Type: Short | Entry Price: 68221.0 | Exit Price: 68023.99 | Entry Time: 2024-03-18 01:09:59.999000+02:00 | Exit Time: 2024-03-18 05:04:59.999000+02:00 | Profit/Loss (%): 0.82 | Volatility: 1.79
2024-04-28 20:51:38,662 [INFO ] 33 | Entry Type: Long | Entry Price: 68013.06 | Exit Price: 68266.62 | Entry Time: 2024-03-18 05:04:59.999000+02:00 | Exit Time: 2024-03-18 09:24:59.999000+02:00 | Profit/Loss (%): 0.72 | Volatility: 0.83
2024-04-28 20:51:38,663 [INFO ] 34 | Entry Type: Short | Entry Price: 68243.65 | Exit Price: 68333.9 | Entry Time: 2024-03-18 09:24:59.999000+02:00 | Exit Time: 2024-03-18 13:24:59.999000+02:00 | Profit/Loss (%): 0.05 | Volatility: 1.52
2024-04-28 20:51:38,664 [INFO ] 35 | Entry Type: Long | Entry Price: 68309.69 | Exit Price: 68204.0 | Entry Time: 2024-03-18 13:24:59.999000+02:00 | Exit Time: 2024-03-18 15:24:59.999000+02:00 | Profit/Loss (%): -0.03 | Volatility: 0.26
2024-04-28 20:51:38,665 [INFO ] 36 | Entry Type: Short | Entry Price: 67929.86 | Exit Price: 67591.56 | Entry Time: 2024-03-18 15:24:59.999000+02:00 | Exit Time: 2024-03-18 18:14:59.999000+02:00 | Profit/Loss (%): 1.02 | Volatility: 1.42
2024-04-28 20:51:38,666 [INFO ] 37 | Entry Type: Long | Entry Price: 67591.55 | Exit Price: 66843.99 | Entry Time: 2024-03-18 18:14:59.999000+02:00 | Exit Time: 2024-03-18 19:09:59.999000+02:00 | Profit/Loss (%): -0.98 | Volatility: 0.13
2024-04-28 20:51:38,667 [INFO ] 38 | Entry Type: Short | Entry Price: 66732.35 | Exit Price: 67638.11 | Entry Time: 2024-03-18 19:09:59.999000+02:00 | Exit Time: 2024-03-18 23:09:59.999000+02:00 | Profit/Loss (%): -1.08 | Volatility: 1.61
2024-04-28 20:51:38,668 [INFO ] 39 | Entry Type: Long | Entry Price: 67538.57 | Exit Price: 67544.0 | Entry Time: 2024-03-18 23:09:59.999000+02:00 | Exit Time: 2024-03-19 02:44:59.999000+02:00 | Profit/Loss (%): -0.05 | Volatility: 0.37
2024-04-28 20:51:38,669 [INFO ] 40 | Entry Type: Short | Entry Price: 67429.99 | Exit Price: 63445.1 | Entry Time: 2024-03-19 02:44:59.999000+02:00 | Exit Time: 2024-03-19 14:04:59.999000+02:00 | Profit/Loss (%): 6.58 | Volatility: 1.39
2024-04-28 20:51:38,670 [INFO ] 41 | Entry Type: Long | Entry Price: 63115.72 | Exit Price: 62999.45 | Entry Time: 2024-03-19 14:04:59.999000+02:00 | Exit Time: 2024-03-19 16:19:59.999000+02:00 | Profit/Loss (%): -0.42 | Volatility: 0.47
2024-04-28 20:51:38,670 [INFO ] 42 | Entry Type: Short | Entry Price: 62680.01 | Exit Price: 64000.0 | Entry Time: 2024-03-19 16:19:59.999000+02:00 | Exit Time: 2024-03-19 17:44:59.999000+02:00 | Profit/Loss (%): -1.52 | Volatility: 2.54
2024-04-28 20:51:38,671 [INFO ] 43 | Entry Type: Long | Entry Price: 63940.37 | Exit Price: 64500.12 | Entry Time: 2024-03-19 17:44:59.999000+02:00 | Exit Time: 2024-03-19 22:04:59.999000+02:00 | Profit/Loss (%): 0.97 | Volatility: 1.24
